task_name,miniwob_category,comment
ascending-numbers,hidden test,
bisect-angle,original,
book-flight,original,delay
book-flight-nodelay,nodelay,
buy-ticket,hidden test,
choose-date,original,delay
choose-date-easy,debug,delay
choose-date-medium,debug,delay
choose-date-nodelay,nodelay,
choose-list,original,
circle-center,original,
click-button,original,
click-button-sequence,original,
click-checkboxes,original,
click-checkboxes-large,additional,
click-checkboxes-soft,additional,
click-checkboxes-transfer,additional,
click-collapsible,original,delay
click-collapsible-2,original,delay
click-collapsible-2-nodelay,nodelay,
click-collapsible-nodelay,nodelay,
click-color,original,
click-dialog,original,
click-dialog-2,original,
click-link,original,
click-menu,original,
click-menu-2,original,
click-option,original,
click-pie,original,delay
click-pie-nodelay,nodelay,
click-scroll-list,original,
click-shades,original,
click-shape,original,
click-tab,original,
click-tab-2,original,
click-tab-2-easy,debug,
click-tab-2-hard,additional,
click-tab-2-medium,debug,
click-test,original,
click-test-2,original,
click-test-transfer,debug,
click-widget,original,
copy-paste,original,
copy-paste-2,original,
count-shape,original,
count-sides,original,
daily-calendar,hidden test,
drag-box,original,
drag-circle,original,
drag-cube,original,
drag-items,original,
drag-items-grid,original,
drag-shapes,original,
drag-shapes-2,hidden test,
drag-single-shape,hidden test,
drag-sort-numbers,original,
draw-circle,hidden test,
draw-line,hidden test,
email-inbox,original,
email-inbox-delete,debug,
email-inbox-forward,debug,
email-inbox-forward-nl,additional,
email-inbox-forward-nl-turk,additional,
email-inbox-important,debug,
email-inbox-nl-turk,additional,
email-inbox-noscroll,debug,
email-inbox-reply,debug,
email-inbox-star-reply,debug,
enter-date,original,
enter-password,original,
enter-text,original,
enter-text-2,original,
enter-text-dynamic,original,
enter-time,original,
find-greatest,hidden test,
find-midpoint,original,
find-word,original,
focus-text,original,
focus-text-2,original,
form-sequence,hidden test,
form-sequence-2,hidden test,
form-sequence-3,hidden test,
generate-number,hidden test,
grid-coordinate,original,
guess-number,original,
highlight-text,original,
highlight-text-2,original,
hot-cold,hidden test,
identify-shape,original,
login-user,original,
login-user-popup,additional,
multi-layouts,additional,
multi-orderings,additional,
navigate-tree,original,
number-checkboxes,original,
odd-or-even,hidden test,
order-food,hidden test,
phone-book,hidden test,
read-table,original,
read-table-2,original,
resize-textarea,original,
right-angle,original,
scroll-text,original,
scroll-text-2,original,
search-engine,original,
sign-agreement,hidden test,
simple-algebra,original,
simple-arithmetic,original,
social-media,original,
social-media-all,additional,
social-media-some,additional,
stock-market,hidden test,delay
terminal,original,
text-editor,original,
text-transform,original,
tic-tac-toe,original,
unicode-test,debug,
use-autocomplete,original,delay
use-autocomplete-nodelay,nodelay,
use-colorwheel,original,
use-colorwheel-2,original,
use-slider,original,
use-slider-2,original,
use-spinner,original,
visual-addition,original,
